Song Name,Artist Name,Acousticness,Danceability,Duration_ms,Energy,Instrumentalness,Loudness,Liveness,Speechiness,Time_signature,Key,Valence,Tempo,Mode,Target,URL,Image
I Shot the Sheriff,Jamie Harrison Guitar,0.136,0.594,394125,0.601,0.868,-7.77,0.0894,0.0697,4,7,0.64,92.052,0,1,https://open.spotify.com/track/30bgYSTK1AWBTx1jJfgoUS,https://i.scdn.co/image/ab67616d0000b273292b5e7d121cc08593ecd6b7
Neon,Jamie Harrison Guitar,0.678,0.537,291500,0.354,0.901,-13.683,0.123,0.0455,4,5,0.632,105.992,0,1,https://open.spotify.com/track/3JtDkUWNGKhfsbo7oRgyPd,https://i.scdn.co/image/ab67616d0000b273ebc90b553ffec85a46432a7f
Belief,Jamie Harrison Guitar,0.355,0.569,322871,0.448,0.826,-12.8,0.0876,0.199,4,2,0.448,202.318,0,1,https://open.spotify.com/track/5ul0wYyWBIGY7C9z6c4G0s,https://i.scdn.co/image/ab67616d0000b2733daab93ad636fe4b62c0ea4b
Gravity,Jamie Harrison Guitar,0.511,0.498,405500,0.301,0.899,-7.823,0.0966,0.0446,3,7,0.133,120.113,1,1,https://open.spotify.com/track/5QbvE2KesccLHKOc2Ab37g,https://i.scdn.co/image/ab67616d0000b273aaa72f31ec3aa820ab47e7f9
Sultans of Swing,Jamie Harrison Guitar,0.592,0.714,416757,0.432,0.887,-11.285,0.116,0.0379,4,2,0.321,147.94,0,1,https://open.spotify.com/track/1akFcnuaYjwpvPTwwhg0Nm,https://i.scdn.co/image/ab67616d0000b2731e7aa63c1d2b3c1bdcecbd98
S.R.V.,Eric Johnson,0.434,0.598,183333,0.64,0.505,-12.32,0.0892,0.0325,4,4,0.626,130.542,1,1,https://open.spotify.com/track/3R5ULvRdYFfaBfkIMkiZnq,https://i.scdn.co/image/ab67616d0000b27349c44f88bfc4996162b21716
Cliffs Of Dover - Instrumental,Eric Johnson,0.162,0.449,249768,0.775,0.149,-12.029,0.248,0.0405,4,7,0.313,94.907,1,1,https://open.spotify.com/track/5qm0KiVKMXW1kq6VrnIhz5,https://i.scdn.co/image/ab67616d0000b27351136aeb3f6b077a3f9d9a0f
Tell Me How It Feels,Cardinal Black,0.0895,0.294,259417,0.709,5.1e-06,-9.139,0.121,0.0755,4,11,0.524,163.306,1,1,https://open.spotify.com/track/6h9d7oMNFE6Nd7E9ujqHwE,https://i.scdn.co/image/ab67616d0000b273e8e1fcaf7dcc5b39ec6c65d8
Polly,Nirvana,0.683,0.618,196467,0.392,7.09e-05,-11.941,0.905,0.0388,4,11,0.437,115.075,1,1,https://open.spotify.com/track/0xHch89AN9RlN8Nm4kJzs3,https://i.scdn.co/image/ab67616d0000b27336c5417732e53e23cb219246
Soothsayer (Dedicated to Aunt Suzie),Buckethead,0.000424,0.23,544800,0.766,0.838,-3.849,0.159,0.0398,4,10,0.227,151.106,0,1,https://open.spotify.com/track/5VBwLOZDyDWInNYIUniuZG,https://i.scdn.co/image/ab67616d0000b273c4d049110f1324238b0aeb97
"I Don't Need No Doctor - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0.0575,0.25,362573,0.903,0.000381,-4.772,0.966,0.0809,4,11,0.57,172.183,0,1,https://open.spotify.com/track/4MeXE7YF459t1PbFTtAklF,https://i.scdn.co/image/ab67616d0000b2735b9c332f9f76cabc137e400f
Killing In The Name,Rage Against The Machine,0.0266,0.466,313573,0.833,0.0,-4.215,0.0327,0.304,4,7,0.661,88.785,1,1,https://open.spotify.com/track/59WN2psjkt1tyaxjspN8fp,https://i.scdn.co/image/ab67616d0000b2737676c7bf4e667590e496c2a3
Bohemian Rhapsody - Remastered 2011,Queen,0.271,0.414,354320,0.404,0.0,-9.928,0.3,0.0499,4,0,0.224,71.105,0,1,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,https://i.scdn.co/image/ab67616d0000b273e319baafd16e84f0408af2a0
We Will Rock You - Remastered 2011,Queen,0.676,0.692,122067,0.497,0.0,-7.316,0.259,0.119,4,2,0.475,81.308,1,1,https://open.spotify.com/track/4pbJqGIASGPr0ZpGpnWkDn,https://i.scdn.co/image/ab67616d0000b2731f7077ae1018b5fbab08dfa8
Marooned,Pink Floyd,0.384,0.396,330385,0.341,0.568,-14.836,0.12,0.0303,4,7,0.148,74.203,1,1,https://open.spotify.com/track/6bIPHR8AJG5HAcn9oF21Ma,https://i.scdn.co/image/ab67616d0000b2738431fb4cb38f8ee96d3434c0
"Nobody Knows You When You're Down and Out - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,0.271,0.667,235427,0.587,5.01e-06,-10.45,0.896,0.0497,4,2,0.691,89.19,1,1,https://open.spotify.com/track/0Se82Sof9IOUY4VdR9un2A,https://i.scdn.co/image/ab67616d0000b273d55ec7fcfacd95e73877b787
Eruption - 2015 Remaster,Van Halen,0.469,0.225,102080,0.689,0.813,-9.12,0.337,0.0555,4,8,0.5,93.798,1,1,https://open.spotify.com/track/2tAeN2TKlQLOoSPXtARzBV,https://i.scdn.co/image/ab67616d0000b27317dd812df38fed44d6d2036e
"The Good, the Bad and the Ugly",Kfir Ochaion,0.000401,0.474,206223,0.744,0.806,-8.171,0.0609,0.033,4,0,0.377,108.009,1,1,https://open.spotify.com/track/4a9cqZtR3iKSmD04d60DCa,https://i.scdn.co/image/ab67616d0000b273cd7a6de35f44928b2ea48e73
Voodoo Child (Slight Return),Stevie Ray Vaughan,0.000364,0.436,478747,0.62,0.539,-11.729,0.11,0.037,4,10,0.413,94.209,0,1,https://open.spotify.com/track/1kY6OOTBmRNzhYmu9xSH3a,https://i.scdn.co/image/ab67616d0000b273eb72e98b6e645a68cdfe72a4
Pride and Joy,Stevie Ray Vaughan,0.0274,0.427,219587,0.626,0.00395,-11.821,0.106,0.0385,4,8,0.743,126.877,1,1,https://open.spotify.com/track/1a2iF9XymafjRk56q7oCxo,https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340
Lenny,Stevie Ray Vaughan,0.775,0.513,297373,0.171,0.458,-17.904,0.139,0.0422,4,8,0.321,118.461,1,1,https://open.spotify.com/track/0h4jHdNzUrV9eGR2PT5R8c,https://i.scdn.co/image/ab67616d0000b273f7143c00741b94bb62025340
It's My Life,Bon Jovi,0.0263,0.551,224493,0.913,1.35e-05,-4.063,0.347,0.0466,4,0,0.544,119.992,0,1,https://open.spotify.com/track/0v1XpBHnsbkCn7iJ9Ucr1l,https://i.scdn.co/image/ab67616d0000b2737a231174875d7930de9dad58
Livin' On A Prayer,Bon Jovi,0.0778,0.532,249293,0.887,0.000214,-3.757,0.294,0.0335,4,0,0.795,122.511,1,1,https://open.spotify.com/track/37ZJ0p5Jm13JPevGcx4SkF,https://i.scdn.co/image/ab67616d0000b2731336b31b6a1799f0de5807ac
Another One Bites The Dust - Remastered 2011,Queen,0.112,0.933,214653,0.528,0.312,-6.472,0.163,0.161,4,5,0.754,109.967,0,1,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7,https://i.scdn.co/image/ab67616d0000b273056e90910cbaf5c5b892aeba
Under The Bridge,Jamie Harrison Guitar,0.671,0.398,326670,0.537,0.847,-8.483,0.241,0.0453,4,4,0.35,169.847,1,1,https://open.spotify.com/track/7bwSQh5IVzDzs8z8xyfbUj,https://i.scdn.co/image/ab67616d0000b2737f5ed57502ce33fc8595b0f8
Under the Bridge,Red Hot Chili Peppers,0.0576,0.559,264307,0.345,0.000105,-13.496,0.141,0.0459,4,4,0.458,84.581,1,1,https://open.spotify.com/track/3d9DChrdc6BOeFsbrZ3Is0,https://i.scdn.co/image/ab67616d0000b273153d79816d853f2694b2cc70
Enter Sandman,Metallica,0.00213,0.577,331267,0.828,0.0114,-8.691,0.0581,0.0298,4,6,0.604,123.257,0,1,https://open.spotify.com/track/5sICkBXVmaCQk5aISGR3x1,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802
Nothing Else Matters,Metallica,0.0458,0.553,388267,0.362,6.01e-06,-11.218,0.075,0.0263,3,4,0.158,142.352,0,1,https://open.spotify.com/track/0nLiqZ6A27jJri2VCalIUs,https://i.scdn.co/image/ab67616d0000b273cf84c5b276431b473e924802
Master Of Puppets,Metallica,0.000647,0.543,515387,0.836,0.431,-9.11,0.153,0.0353,4,4,0.56,105.173,0,1,https://open.spotify.com/track/2MuWTIM3b0YEAskbeeFE1i,https://i.scdn.co/image/ab67616d0000b273668e3aca3167e6e569a9aa20
Gimme Shelter,Jamie Harrison Guitar,0.889,0.677,269370,0.559,0.863,-7.068,0.102,0.0309,4,6,0.104,118.963,1,1,https://open.spotify.com/track/1pbITTlLW3CqDTDp815Mbu,https://i.scdn.co/image/ab67616d0000b273eac458c43df8908a17812c33
